n,seed,dim_restricted,mean_restricted,max_restricted,min_restricted,elapsed_time
2,26,3,0.026282194680592275,0.028556429241405282,0.022685407995415997,0.1378984000039054
2,92,3,0.005027297904262199,0.008418410431825271,0.0002682628871864861,0.14280929999949876
2,84,3,0.0001781697592804731,0.0003002610857188834,4.291312055283427e-05,0.13716410000051837
2,90,3,0.04897858521622802,0.09665543998805495,0.02209887973093139,0.1389579000097001
2,70,3,0.006478405871038299,0.009047812079305597,0.0035465326620301475,0.13693619999685325
2,54,3,0.037931870312471805,0.05279538278738098,0.021277309554039968,0.1373019999882672
2,29,3,0.0006469025129607817,0.0009517420396576406,0.00023789495022978605,0.1351425000029849
2,58,3,0.0052228616973476446,0.006573327081105577,0.003621360695817877,0.1382471999968402
2,76,3,0.06810122838673008,0.09723527037320245,0.024988188762316878,0.13755669999227393
2,36,3,0.005607952538231852,0.008203972909007673,0.002844433391416636,0.13674250000622123
2,1,3,0.0061240639147307615,0.008382390298473355,0.001879337427728408,0.13594769999326672
2,98,3,0.028725246361012424,0.0311481780642062,0.02420114197407518,0.13889250000647735
2,21,3,0.010093063967268933,0.021070849481514876,0.0010481093857087002,0.13640240000677295
2,90,3,0.04897858521622802,0.09665543998805495,0.02209887973093139,0.13677569999708794
2,55,3,0.0048139334525013925,0.008773009722796044,0.002407801966493883,0.1397251000016695
2,44,3,0.11301042833748269,0.17268868218877909,0.08100027093787791,0.1365520999970613
2,36,3,0.005607952538231852,0.008203972909007673,0.002844433391416636,0.13818549999268726
2,20,3,0.02049890518945457,0.022266989267340193,0.017268249545402514,0.13906950000091456
2,28,3,0.00523679803157892,0.006442016039910156,0.0030332927559397803,0.14013719999638852
2,98,3,0.028725246361012424,0.0311481780642062,0.02420114197407518,0.1373598999925889
2,44,3,0.11301042833748269,0.17268868218877909,0.08100027093787791,0.13686579999921378
2,14,3,0.014729491141360303,0.018155213376604196,0.008453353285507736,0.13687309999659192
2,12,3,0.05728831734325567,0.07307972263725118,0.044729466602026306,0.13702409999677911
2,49,3,0.056435103894044124,0.0737445341898978,0.046908802465514585,0.14007670000137296
2,13,3,0.0006451131601000839,0.0008787892039693909,0.0004848210758599494,0.15199090000533033
2,46,3,0.006442522822912192,0.011218555159328741,0.002559609288942426,0.1419929000112461
2,45,3,0.006898854196505942,0.012687788585328041,0.0016286636500537422,0.13554809999186546
2,78,3,0.0006416415852621276,0.0008220929337101779,0.0005100657945067417,0.13539890000538435
2,34,3,0.0009223811768126871,0.002034164793538822,9.422972611427183e-05,0.13552229999913834
2,6,3,0.04267397426235763,0.056080868490228204,0.027024814493373437,0.1381244000076549
2,94,3,0.004367833751084803,0.005374098140212541,0.0031575925317267133,0.13496590001159348
2,59,3,7.064568486733461e-05,8.926170116498493e-05,5.850221462281572e-05,0.13405459999921732
2,69,3,0.0027101618359243232,0.004829635954325598,0.0011535621686239094,0.13655009999638423
2,16,3,0.0008663390394936899,0.0020769681212374296,0.0002572703778460291,0.16701259999535978
2,49,3,0.056435103894044124,0.0737445341898978,0.046908802465514585,0.1413983999955235
2,11,3,0.000798809604052666,0.0009468254852305585,0.0007200540231571188,0.1465042999916477
2,71,3,0.009235747607986433,0.012115791323508169,0.0073907454590114,0.1556636999885086
2,38,3,0.019971257990839507,0.026559240478667805,0.012790859566207518,0.13668219999817666
2,81,3,0.00015245029152548145,0.00023717664843642895,0.00010625818560746378,0.1341861999972025
2,80,3,0.02725843286732847,0.03980460779048627,0.005036448520747695,0.1393229999957839
